----------------- ----------------- Fz 1
sorriu sorrir VMIS3S0 1
laconicamente laconicamente RG 1
e e CC 0.999951
voltou voltar VMIS3S0 1
se se PP3CN00 1
para para SP 0.999444
Harry harry NP00000 1
. . Fp 1

- - Fg 1
Passa passar VMIP3S0 1
me me PP1CS00 1
a o DA0FS0 0.675415
frigideira frigideira NCFS000 1
. . Fp 1

-- -- Fg 1
Esqueceste esquecer VMIS2S0 1
te te PP2CS00 1
de de SP 1
a o DA0FS0 0.675415 a SP 0.313151 o PP3FSA0 0.00613742 o PD0FS00 0.00514062 a NCMS000 0.000156639
palavra palavra NCFS000 1
mágica mágico AQ0FS00 0.567368
- - Fg 1
disse dizer VMIS3S0 0.638889
Harry harry NP00000 1
, , Fc 1
irritado irritar VMP00SM 0.992515
. . Fp 1

O o DA0MS0 0.950254
efeito efeito NCMS000 1
que que PR0CN00 0.584265
esta este DD0FS0 0.877868
simples simples AQ0CN00 0.98913
frase frase NCFS000 1
teve ter VMIS3S0 1
em em SP 1
o o DA0MS0 1
resto resto NCMS000 0.991803
de de SP 1
a o DA0FS0 0.675415 a SP 0.313151 o PP3FSA0 0.00613742 o PD0FS00 0.00514062 a NCMS000 0.000156639
família família NCFS000 1
foi ir VMIS3S0 0.5
inacreditável inacreditável AQ0CS00 1
: : Fd 1
Dudley dudley NP00000 1
começou começar VMIS3S0 1
a a SP 0.313151
arfar arfar VMN0000 0.529581
e e CC 0.999951
caiu cair VMIS3S0 1
de de SP 1
a o DA0FS0 0.675415 a SP 0.313151 o PP3FSA0 0.00613742 o PD0FS00 0.00514062 a NCMS000 0.000156639
cadeira cadeira NCFS000 1
com com SP 1
um um DI0MS0 0.877848
estrondo estrondo NCMS000 0.914006
que que PR0CN00 0.584265
abalou abalar VMIS3S0 1
a o DA0FS0 0.675415
cozinha cozinha NCFS000 0.819238
, , Fc 1
Mrs._Dursley mrs._dursley NP00000 1
deu dar VMIS3S0 1
um um DI0MS0 0.877848
gritinho grito NCMS00D 1
e e CC 0.999951
bateu bater VMIS3S0 1
com com SP 1
a o DA0FS0 0.675415
mão mão NCFS000 1
em em SP 1
a o DA0FS0 1
boca boca NCFS000 0.953488
, , Fc 1
Mr._Dursley mr._dursley NP00000 1
pôs pôr VMIS3S0 1
se se PP3CN00 1
de de SP 1
pé pé NCMS000 1
com com SP 1
as o DA0FP0 0.974798
veias veia NCFP000 1
de de SP 1
as o DA0FP0 0.974798 o PD0FP00 0.0142702 o PP3FPA0 0.0109322
têmporas têmpora NCFP000 0.5
dilatadas dilatar VMP00PF 0.992516
. . Fp 1

- - Fg 1
Eu eu PP1CSN0 0.994334
queria querer VMII3S0 0.533333
dizer dizer VMN0000 0.328715
« « Fra 1
por por SP 1
favor favor NCMS000 1
» » Frc 1
- - Fg 1
explicou explicar VMIS3S0 1
Harry harry NP00000 1
rapidamente rapidamente RG 1
. . Fp 1
- - Fg 1
Não não RN 0.9997
me me PP1CS00 1
referia referir VMII3S0 0.324967
a a SP 0.313151
... ... Fs 1
- - Fg 1
: : Fd 1
__ __ Fz 1
o o PD0MS00 0.0313531
que que PR0CN00 0.584265
é_que É_que RG 1
eu eu PP1CSN0 0.997159
te te PP2CS00 1
__ __ Fz 1
disse dizer VMIS3S0 0.638889
- - Fg 1
vociferou vociferar VMIS3S0 1
o o DA0MS0 0.950254
tio tio NCMS000 1
, , Fc 1
espalhando espalhar VMG0000 1
perdigotos perdigoto NCMP000 1
sobre sobre SP 0.997342
a o DA0FS0 0.675415
mesa mesa NCFS000 1
- - Fg 1
: : Fd 1
__ __ Fz 1
sobre sobre SP 0.997342
pronunciar pronunciar VMN0000 0.529581
a o DA0FS0 0.675415
palavra palavra NCFS000 1
m m NCMS000 1
. . Fp 1

em em SP 1
esta este DD0FS0 0.877868 este PD0FS00 0.122132
__ __ Fz 1
casa casa NCFS000 0.994169
? ? Fit 1

- - Fg 1
Mas mas CC 0.999313
eu eu PP1CSN0 0.997159
... ... Fs 1
- - Fg 1
: : Fd 1
__ __ Fz 1
como como CS 0.751351
te te PP2CS00 1
atreves atrever VMIP2S0 1
a a SP 0.313151
ameaçar ameaçar VMN0000 0.529581
o o DA0MS0 0.950254
__ __ Fz 1
dudley dudley NCMS000 0.600624
! ! Fat 1
- - Fg 1
rosnou rosnar VMIS3S0 1
o o DA0MS0 0.950254
tio tio NCMS000 1
Vernon vernon NP00000 1
, , Fc 1
batendo bater VMG0000 1
com com SP 1
